region,date,consumption
Auvergne-Rhône-Alpes,2013-01-01,7560
Auvergne-Rhône-Alpes,2013-01-02,8700
Auvergne-Rhône-Alpes,2013-01-03,9367
Auvergne-Rhône-Alpes,2013-01-04,9133
Auvergne-Rhône-Alpes,2013-01-05,8283
Auvergne-Rhône-Alpes,2013-01-06,7980
Auvergne-Rhône-Alpes,2013-01-07,9310
Auvergne-Rhône-Alpes,2013-01-08,9741
Auvergne-Rhône-Alpes,2013-01-09,10191
Auvergne-Rhône-Alpes,2013-01-10,10217
Auvergne-Rhône-Alpes,2013-01-11,9891
Auvergne-Rhône-Alpes,2013-01-12,9164
Auvergne-Rhône-Alpes,2013-01-13,8712
Auvergne-Rhône-Alpes,2013-01-14,10145
Auvergne-Rhône-Alpes,2013-01-15,10707
Auvergne-Rhône-Alpes,2013-01-16,10653
Auvergne-Rhône-Alpes,2013-01-17,11349
Auvergne-Rhône-Alpes,2013-01-18,11336
Auvergne-Rhône-Alpes,2013-01-19,9858
Auvergne-Rhône-Alpes,2013-01-20,9110
Auvergne-Rhône-Alpes,2013-01-21,10231
Auvergne-Rhône-Alpes,2013-01-22,10134
Auvergne-Rhône-Alpes,2013-01-23,10404
Auvergne-Rhône-Alpes,2013-01-24,10442
Auvergne-Rhône-Alpes,2013-01-25,10602
Auvergne-Rhône-Alpes,2013-01-26,9963
Auvergne-Rhône-Alpes,2013-01-27,9370
Auvergne-Rhône-Alpes,2013-01-28,10009
Auvergne-Rhône-Alpes,2013-01-29,10127
Auvergne-Rhône-Alpes,2013-01-30,9408
Auvergne-Rhône-Alpes,2013-01-31,9206
Auvergne-Rhône-Alpes,2013-02-01,9111
Auvergne-Rhône-Alpes,2013-02-02,8681
Auvergne-Rhône-Alpes,2013-02-03,8969
Auvergne-Rhône-Alpes,2013-02-04,10108
Auvergne-Rhône-Alpes,2013-02-05,9752
Auvergne-Rhône-Alpes,2013-02-06,10296
Auvergne-Rhône-Alpes,2013-02-07,10582
Auvergne-Rhône-Alpes,2013-02-08,10387
Auvergne-Rhône-Alpes,2013-02-09,9845
Auvergne-Rhône-Alpes,2013-02-10,9704
Auvergne-Rhône-Alpes,2013-02-11,10365
Auvergne-Rhône-Alpes,2013-02-12,10511
Auvergne-Rhône-Alpes,2013-02-13,10688
Auvergne-Rhône-Alpes,2013-02-14,10908
Auvergne-Rhône-Alpes,2013-02-15,10281
Auvergne-Rhône-Alpes,2013-02-16,9247
Auvergne-Rhône-Alpes,2013-02-17,9044
Auvergne-Rhône-Alpes,2013-02-18,10112
Auvergne-Rhône-Alpes,2013-02-19,10362
Auvergne-Rhône-Alpes,2013-02-20,10271
Auvergne-Rhône-Alpes,2013-02-21,10670
Auvergne-Rhône-Alpes,2013-02-22,10740
Auvergne-Rhône-Alpes,2013-02-23,10396
Auvergne-Rhône-Alpes,2013-02-24,10157
Auvergne-Rhône-Alpes,2013-02-25,10772
Auvergne-Rhône-Alpes,2013-02-26,10665
