[INFO] [03/15/2024 21:34:10.389] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor48] /!\ Total time for the Process [48] to decide (value [0] ballot [2448]): 217ms
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-35] [akka://system/user/Actor36] /!\ Total time for the Process [36] to decide (value [0] ballot [3836]): 228ms
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor64] /!\ [Actor64] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor64] /!\ [Actor64] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.394] [system-akka.actor.default-dispatcher-15] [akka://system/user/Actor46] /!\ Total time for the Process [46] to decide (value [0] ballot [3246]): 223ms
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor36] /!\ [Actor36] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor64] /!\ [Actor64] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-15] [akka://system/user/Actor36] /!\ [Actor36] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-15] [akka://system/user/Actor36] /!\ [Actor36] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor11] /!\ [Actor11] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor11] /!\ [Actor11] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor11] /!\ [Actor11] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.397] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor22] /!\ [Actor22] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor22] /!\ [Actor22] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-15] [akka://system/user/Actor6] /!\ [Actor6] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-23] [akka://system/user/Actor22] /!\ [Actor22] received DECIDE from [Actor46], proposal [0]
