[INFO] [04/03/2024 16:15:44.075] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor31] /!\ Total time for the Process [31] to decide (value [1] ballot [2031]): 320ms
[INFO] [04/03/2024 16:15:44.079] [system-akka.actor.default-dispatcher-7] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.079] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor40] /!\ [Actor40] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.079] [system-akka.actor.default-dispatcher-11] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-10] [akka://system/user/Actor53] /!\ [Actor53] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor58] /!\ [Actor58] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-10] [akka://system/user/Actor96] /!\ [Actor96] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-11] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-17] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor85] /!\ [Actor85] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-34] [akka://system/user/Actor57] /!\ [Actor57] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-34] [akka://system/user/Actor33] /!\ [Actor33] received DECIDE from [Actor31], proposal [1]
[INFO] [04/03/2024 16:15:44.080] [system-akka.actor.default-dispatcher-36] [akka://system/user/Actor62] /!\ [Actor62] received DECIDE from [Actor31], proposal [1]
